sl_no,project_name,agency,project_code,state,approval_date,start_date,original_completion_date,revised_completion_date,original_cost,revised_cost,cumulative_expenditure,physical_progress,source_page,report_month,source_report,report_date
1755,Bargi Diversion Project Phase - IV [km. 154 to km 197],Water Resources-MP,400115,Madhya Pradesh,2008-04,2009-01,2019-12,2026-03,751.03,893.35,814.02,75.0,151,July 2026,FlashReport_July_2026.pdf,2026-07
1954,Bargi Diversion Project Phase - III [km. 104 to km 154],Water Resources-MP,400116,Madhya Pradesh,2007-04,2007-04,2019-12,2026-12,1229.15,1399.7,2190.05,81.42,161,April 2026,FlashReport_April2026.pdf,2026-04
1966,Bargi Diversion Project Phase - III [km. 104 to km 154],Water Resources-MP,400116,Madhya Pradesh,2007-04,2007-04,2019-12,2026-12,1229.15,1399.7,2203.81,81.52,161,May 2026,FlashReport_May2026.pdf,2026-05
1826,Bargi Diversion Project Phase - III [km. 104 to km 154],Water Resources-MP,400116,Madhya Pradesh,2007-04,2007-04,2019-12,2026-12,1229.15,1399.7,2240.05,81.52,159,June 2026,FlashReport_June_2026.pdf,2026-06
1756,Bargi Diversion Project Phase - III [km. 104 to km 154],Water Resources-MP,400116,Madhya Pradesh,2007-04,2007-04,2019-12,2026-12,1229.15,1399.7,2270.96,81.52,151,July 2026,FlashReport_July_2026.pdf,2026-07
432,Life Extension of 48 well platforms of Mumbai High & Heera Fields,Oil and Natural Gas Corporation Limited [ONGC],400119,Offshore,2015-12,2015-12,2018-04,2026-08,3190.69,3375.9,3123.2,90.0,76,April 2026,FlashReport_April2026.pdf,2026-04
421,Life Extension of 48 well platforms of Mumbai High & Heera Fields,Oil and Natural Gas Corporation Limited [ONGC],400119,Offshore,2015-12,2015-12,2018-04,2026-10,3190.69,3375.9,3123.2,90.0,74,May 2026,FlashReport_May2026.pdf,2026-05
413,Life Extension of 48 well platforms of Mumbai High & Heera Fields,Oil and Natural Gas Corporation Limited [ONGC],400119,Offshore,2015-12,2015-12,2018-04,2026-10,3190.69,3375.9,3123.2,90.0,79,June 2026,FlashReport_June_2026.pdf,2026-06
405,Life Extension of 48 well platforms of Mumbai High & Heera Fields,Oil and Natural Gas Corporation Limited [ONGC],400119,Offshore,2015-12,2015-12,2018-04,2026-10,3190.69,3375.9,3123.2,90.0,74,July 2026,FlashReport_July_2026.pdf,2026-07
361,KG-DWN-98/2 Cluster - II Development Project - NELP Block,Oil and Natural Gas Corporation Limited [ONGC],400120,Andhra Pradesh,2016-03,2016-03,2020-06,2026-09,34012.0,34012.0,33006.7,96.5,72,April 2026,FlashReport_April2026.pdf,2026-04
352,KG-DWN-98/2 Cluster - II Development Project - NELP Block,Oil and Natural Gas Corporation Limited [ONGC],400120,Andhra Pradesh,2016-03,2016-03,2020-06,2026-09,34012.0,34012.0,33006.7,96.6,71,May 2026,FlashReport_May2026.pdf,2026-05
346,KG-DWN-98/2 Cluster - II Development Project - NELP Block,MinistryofPetroleumNaturalGas,400120,Andhra Pradesh,2016-03,2016-03,2020-06,2026-06,34012.0,34012.0,33113.74,96.8,76,June 2026,FlashReport_June_2026.pdf,2026-06
344,KG-DWN-98/2 Cluster - II Development Project - NELP Block,Oil and Natural Gas Corporation Limited [ONGC],400120,Andhra Pradesh,2016-03,2016-03,2020-06,2026-09,34012.0,34012.0,33192.0,96.9,72,July 2026,FlashReport_July_2026.pdf,2026-07
518,"Construction of Screening Plant-II for Donimalai and Kumaraswamy Iron Ore Mining Complex of NMDC Limited at Ballari Dt, Karnataka.",National Mineral Development Corporation Limited [NMDC],400121,Karnataka,2014-11,2024-06,2026-08,,1043.63,1043.63,609.8,63.1,80,April 2026,FlashReport_April2026.pdf,2026-04
519,"Construction of Screening Plant-II for Donimalai and Kumaraswamy Iron Ore Mining Complex of NMDC Limited at Ballari Dt, Karnataka.",National Mineral Development Corporation Limited [NMDC],400121,Karnataka,2014-11,2024-06,2026-08,,1043.63,1043.63,628.29,65.0,79,May 2026,FlashReport_May2026.pdf,2026-05
509,"Construction of Screening Plant-II for Donimalai and Kumaraswamy Iron Ore Mining Complex of NMDC Limited at Ballari Dt, Karnataka.",National Mineral Development Corporation Limited [NMDC],400121,Karnataka,2014-11,2024-06,2026-08,,1043.63,1043.63,628.29,65.0,84,June 2026,FlashReport_June_2026.pdf,2026-06
510,"Construction of Screening Plant-II for Donimalai and Kumaraswamy Iron Ore Mining Complex of NMDC Limited at Ballari Dt, Karnataka.",National Mineral Development Corporation Limited [NMDC],400121,Karnataka,2014-11,2024-06,2026-08,,1043.63,1043.63,649.52,70.33,80,July 2026,FlashReport_July_2026.pdf,2026-07
46,SANGHMITRA OC,Ministry of Coal,400136,Jharkhand,2024-03,2024-03,2032-03,,2660.0,2660.0,16.1,16.77,57,April 2026,FlashReport_April2026.pdf,2026-04
46,SANGHMITRA OC,Ministry of Coal,400136,Jharkhand,2024-03,2024-03,2032-03,,2660.0,2660.0,17.03,16.77,56,May 2026,FlashReport_May2026.pdf,2026-05
45,SANGHMITRA OC,CCL - CIL,400136,Jharkhand,2024-03,2024-03,2032-03,,2660.0,2660.0,17.4,16.77,61,June 2026,FlashReport_June_2026.pdf,2026-06
45,SANGHMITRA OC,CCL - CIL,400136,Jharkhand,2024-03,2024-03,2032-03,,2660.0,2660.0,17.03,16.77,57,July 2026,FlashReport_July_2026.pdf,2026-07
47,CHANDRAGUPT OCP,Ministry of Coal,400138,Jharkhand,2020-08,2020-08,2032-03,,973.5,973.5,440.75,24.86,57,April 2026,FlashReport_April2026.pdf,2026-04
47,CHANDRAGUPT OCP,Ministry of Coal,400138,Jharkhand,2020-08,2020-08,2032-03,,973.5,973.5,440.75,25.03,56,May 2026,FlashReport_May2026.pdf,2026-05
46,CHANDRAGUPT OCP,CCL - CIL,400138,Jharkhand,2020-08,2020-08,2032-03,,973.5,973.5,772.12,25.11,61,June 2026,FlashReport_June_2026.pdf,2026-06
46,CHANDRAGUPT OCP,CCL - CIL,400138,Jharkhand,2020-08,2020-08,2032-03,,973.5,973.5,772.12,25.11,57,July 2026,FlashReport_July_2026.pdf,2026-07
48,KOTRE BASANTPUR PACHMO OCP,Ministry of Coal,400139,Jharkhand,2020-08,2020-08,2032-03,,861.06,625.4,455.95,47.95,57,April 2026,FlashReport_April2026.pdf,2026-04
48,KOTRE BASANTPUR PACHMO OCP,Ministry of Coal,400139,Jharkhand,2020-08,2020-08,2032-03,,861.06,625.4,456.48,45.52,56,May 2026,FlashReport_May2026.pdf,2026-05
47,KOTRE BASANTPUR PACHMO OCP,Ministry of Coal,400139,Jharkhand,2020-08,2020-08,2032-03,,861.06,625.4,456.48,45.78,61,June 2026,FlashReport_June_2026.pdf,2026-06
47,KOTRE BASANTPUR PACHMO OCP,Ministry of Coal,400139,Jharkhand,2020-08,2020-08,2032-03,,625.4,625.4,456.48,45.78,57,July 2026,FlashReport_July_2026.pdf,2026-07
310,Expansion of Alumina Refinery Plant with addition of 5th Stream having capacity enhancement of 1.0 Million Tonee Per Annum,National Aluminium Company Limited [NALCO],400141,Odisha,2017-04,2017-04,2022-12,2026-06,4103.0,5677.4,4887.6,94.2,70,April 2026,FlashReport_April2026.pdf,2026-04
301,Expansion of Alumina Refinery Plant with addition of 5th Stream having capacity enhancement of 1.0 Million Tonee Per Annum,National Aluminium Company Limited [NALCO],400141,Odisha,2017-04,2017-04,2022-12,2026-06,4103.0,5677.4,4920.25,94.7,68,May 2026,FlashReport_May2026.pdf,2026-05
297,Expansion of Alumina Refinery Plant with addition of 5th Stream having capacity enhancement of 1.0 Million Tonee Per Annum,National Aluminium Company Limited [NALCO],400141,Odisha,2017-04,2017-04,2022-12,2026-06,4103.0,5677.4,4985.07,95.2,73,June 2026,FlashReport_June_2026.pdf,2026-06
297,Expansion of Alumina Refinery Plant with addition of 5th Stream having capacity enhancement of 1.0 Million Tonee Per Annum,National Aluminium Company Limited [NALCO],400141,Odisha,2017-04,2017-04,2022-12,2026-06,4103.0,5677.4,5023.49,95.64,69,July 2026,FlashReport_July_2026.pdf,2026-07
49,Pachwara South Coal Block,NLC India Limited [NLCIL],400142,Jharkhand,2016-03,2019-11,2028-09,,2242.9,2242.9,1365.83,87.0,57,April 2026,FlashReport_April2026.pdf,2026-04
49,Pachwara South Coal Block,NLC India Limited [NLCIL],400142,Jharkhand,2016-03,2019-11,2028-09,,2242.9,2242.9,1388.09,87.0,56,May 2026,FlashReport_May2026.pdf,2026-05
48,Pachwara South Coal Block,NLC India Limited,400142,Jharkhand,2016-03,2019-11,2028-09,,2242.9,2242.9,1422.51,87.0,61,June 2026,FlashReport_June_2026.pdf,2026-06
48,Pachwara South Coal Block,NLC India Limited,400142,Jharkhand,2016-03,2019-11,2028-09,,2242.9,2242.9,1432.45,87.0,57,July 2026,FlashReport_July_2026.pdf,2026-07
29,PORDA CHIMTAPANI OCP [10 MTY],South Eastern Coalfields Limited [SECL],400144,Chhattisgarh,2020-12,2020-12,2029-03,,2310.12,2310.12,113.83,11.81,56,April 2026,FlashReport_April2026.pdf,2026-04
29,PORDA CHIMTAPANI OCP [10 MTY],South Eastern Coalfields Limited [SECL],400144,Chhattisgarh,2020-12,2020-12,2029-03,,2310.12,2310.12,115.62,11.81,55,May 2026,FlashReport_May2026.pdf,2026-05
28,PORDA CHIMTAPANI OCP [10 MTY],South Eastern Coalfields Limited [SECL],400144,Chhattisgarh,2020-12,2020-12,2029-03,,2310.12,2310.12,117.37,11.81,60,June 2026,FlashReport_June_2026.pdf,2026-06
28,PORDA CHIMTAPANI OCP [10 MTY],SECL - CIL,400144,Chhattisgarh,2020-12,2020-12,2029-03,,2310.12,2310.12,118.97,11.81,56,July 2026,FlashReport_July_2026.pdf,2026-07
71,AMADAND OCP[4.0MTY],Ministry of Coal,400148,Madhya Pradesh,2016-03,2016-03,2021-03,2027-03,869.44,869.44,325.4,75.15,58,April 2026,FlashReport_April2026.pdf,2026-04
70,AMADAND OCP[4.0MTY],Ministry of Coal,400148,Madhya Pradesh,2016-03,2016-03,2021-03,2027-03,869.44,869.44,325.4,75.15,57,May 2026,FlashReport_May2026.pdf,2026-05
69,AMADAND OCP[4.0MTY],SECL - CIL,400148,Madhya Pradesh,2016-03,2016-03,2021-03,2027-03,869.44,869.44,324.92,75.15,62,June 2026,FlashReport_June_2026.pdf,2026-06
69,AMADAND OCP[4.0MTY],SECL - CIL,400148,Madhya Pradesh,2016-03,2016-03,2021-03,2027-03,869.44,869.44,325.09,75.15,58,July 2026,FlashReport_July_2026.pdf,2026-07
30,BAROUD OC EXPANSION [3.0-10.0M,South Eastern Coalfields Limited [SECL],400149,Chhattisgarh,2020-08,2020-08,2029-03,,2309.8,2309.8,993.79,55.95,56,April 2026,FlashReport_April2026.pdf,2026-04
30,BAROUD OC EXPANSION [3.0-10.0M,South Eastern Coalfields Limited [SECL],400149,Chhattisgarh,2020-08,2020-08,2029-03,,2309.8,2309.8,999.09,55.95,55,May 2026,FlashReport_May2026.pdf,2026-05
29,BAROUD OC EXPANSION [3.0-10.0M,South Eastern Coalfields Limited [SECL],400149,Chhattisgarh,2020-08,2020-08,2029-03,,2309.8,2309.8,1007.09,55.95,60,June 2026,FlashReport_June_2026.pdf,2026-06
29,BAROUD OC EXPANSION [3.0-10.0M,SECL - CIL,400149,Chhattisgarh,2020-08,2020-08,2029-03,,2309.8,2309.8,1039.65,55.95,56,July 2026,FlashReport_July_2026.pdf,2026-07
50,RPR MAGADH EXP OCP,Ministry of Coal,400150,Jharkhand,2020-08,2020-08,2028-03,,7254.37,7254.37,1688.4,40.21,57,April 2026,FlashReport_April2026.pdf,2026-04
50,RPR MAGADH EXP OCP,Ministry of Coal,400150,Jharkhand,2020-08,2020-08,2028-03,,7254.37,7254.37,1692.65,39.3,56,May 2026,FlashReport_May2026.pdf,2026-05
49,RPR MAGADH EXP OCP,Ministry of Coal,400150,Jharkhand,2020-08,2020-08,2028-03,,6964.33,6964.33,2298.45,39.42,61,June 2026,FlashReport_June_2026.pdf,2026-06
49,RPR MAGADH EXP OCP,Ministry of Coal,400150,Jharkhand,2020-08,2020-08,2028-03,,6964.33,6964.33,2299.77,39.42,57,July 2026,FlashReport_July_2026.pdf,2026-07
51,NORTH URIMARI EXPANSION OCP,Ministry of Coal,400151,Jharkhand,2021-07,2021-07,2029-03,,778.8,778.8,605.7,71.38,57,April 2026,FlashReport_April2026.pdf,2026-04
51,NORTH URIMARI EXPANSION OCP,Ministry of Coal,400151,Jharkhand,2021-07,2021-07,2029-03,,778.8,778.8,606.01,68.75,56,May 2026,FlashReport_May2026.pdf,2026-05
50,NORTH URIMARI EXPANSION OCP,Ministry of Coal,400151,Jharkhand,2021-07,2021-07,2029-03,,634.3,634.3,598.32,68.9,61,June 2026,FlashReport_June_2026.pdf,2026-06
50,NORTH URIMARI EXPANSION OCP,Ministry of Coal,400151,Jharkhand,2021-07,2021-07,2029-03,,634.3,634.3,598.34,68.9,57,July 2026,FlashReport_July_2026.pdf,2026-07
52,EPR ROHINI - KARKETTA OCP,Ministry of Coal,400153,Jharkhand,2021-01,2021-01,2028-03,,1020.42,1020.42,84.94,22.84,57,April 2026,FlashReport_April2026.pdf,2026-04
52,EPR ROHINI - KARKETTA OCP,Ministry of Coal,400153,Jharkhand,2021-01,2021-01,2028-03,,1020.42,1020.42,85.34,22.54,56,May 2026,FlashReport_May2026.pdf,2026-05
51,EPR ROHINI - KARKETTA OCP,Ministry of Coal,400153,Jharkhand,2021-01,2021-01,2028-03,,995.57,995.57,85.34,24.02,61,June 2026,FlashReport_June_2026.pdf,2026-06
51,EPR ROHINI - KARKETTA OCP,Ministry of Coal,400153,Jharkhand,2021-01,2021-01,2028-03,,995.57,995.57,85.34,24.02,57,July 2026,FlashReport_July_2026.pdf,2026-07
53,EPR PUNDI OCP,Ministry of Coal,400154,Jharkhand,2020-11,2020-11,2027-03,,713.35,713.35,236.58,10.19,57,April 2026,FlashReport_April2026.pdf,2026-04
53,EPR PUNDI OCP,Ministry of Coal,400154,Jharkhand,2020-11,2020-11,2027-03,,713.35,713.35,236.58,10.19,56,May 2026,FlashReport_May2026.pdf,2026-05
52,EPR PUNDI OCP,Ministry of Coal,400154,Jharkhand,2020-11,2020-11,2027-03,,639.6,639.6,236.58,11.24,61,June 2026,FlashReport_June_2026.pdf,2026-06
52,EPR PUNDI OCP,Ministry of Coal,400154,Jharkhand,2020-11,2020-11,2027-03,,639.6,639.6,14.78,11.24,57,July 2026,FlashReport_July_2026.pdf,2026-07
54,EPR ASHOK OC,Ministry of Coal,400155,Jharkhand,2021-05,2021-05,2031-03,,2898.28,2898.28,185.19,28.85,57,April 2026,FlashReport_April2026.pdf,2026-04
54,EPR ASHOK OC,Ministry of Coal,400155,Jharkhand,2021-05,2021-05,2031-03,,2821.07,2821.07,186.02,27.51,56,May 2026,FlashReport_May2026.pdf,2026-05
53,EPR ASHOK OC,Ministry of Coal,400155,Jharkhand,2021-05,2021-05,2031-03,,2821.07,2821.07,186.02,27.74,61,June 2026,FlashReport_June_2026.pdf,2026-06
53,EPR ASHOK OC,Ministry of Coal,400155,Jharkhand,2021-05,2021-05,2031-03,,2821.07,2821.07,186.02,27.74,57,July 2026,FlashReport_July_2026.pdf,2026-07
55,EPR AMRAPALI OCP,Ministry of Coal,400156,Jharkhand,2020-02,2020-02,2028-03,,5136.15,5136.15,1326.01,44.45,57,April 2026,FlashReport_April2026.pdf,2026-04
55,EPR AMRAPALI OCP,Ministry of Coal,400156,Jharkhand,2020-02,2020-02,2028-03,,5136.15,5136.15,1326.08,43.58,56,May 2026,FlashReport_May2026.pdf,2026-05
54,EPR AMRAPALI OCP,CCL - CIL,400156,Jharkhand,2020-02,2020-02,2028-03,,4983.57,4983.57,1811.77,43.69,61,June 2026,FlashReport_June_2026.pdf,2026-06
54,EPR AMRAPALI OCP,CCL - CIL,400156,Jharkhand,2020-02,2020-02,2028-03,,4983.57,4983.57,1838.82,43.69,57,July 2026,FlashReport_July_2026.pdf,2026-07
56,RAJRAPPA RCE OCP,Ministry of Coal,400160,Jharkhand,2009-12,2009-12,2016-03,2027-03,510.85,510.85,488.71,78.25,57,April 2026,FlashReport_April2026.pdf,2026-04
56,RAJRAPPA RCE OCP,Ministry of Coal,400160,Jharkhand,2009-12,2009-12,2016-03,2027-03,510.85,510.85,488.71,76.99,56,May 2026,FlashReport_May2026.pdf,2026-05
55,RAJRAPPA RCE OCP,CCL - CIL,400160,Jharkhand,2009-12,2009-12,2016-03,2027-03,510.85,510.85,489.2,75.61,61,June 2026,FlashReport_June_2026.pdf,2026-06
55,RAJRAPPA RCE OCP,CCL - CIL,400160,Jharkhand,2009-12,2009-12,2016-03,2027-03,510.85,510.85,488.71,75.61,57,July 2026,FlashReport_July_2026.pdf,2026-07
72,BLOCK B EXPANSION [3.5 TO 8.0,Northern Coalfields Limited [NCL],400162,Madhya Pradesh,2019-07,2019-07,2023-03,2027-03,998.71,998.71,518.17,50.0,58,April 2026,FlashReport_April2026.pdf,2026-04
71,BLOCK B EXPANSION [3.5 TO 8.0,Northern Coalfields Limited [NCL],400162,Madhya Pradesh,2019-07,2019-07,2023-03,2027-03,998.71,998.71,520.97,50.39,57,May 2026,FlashReport_May2026.pdf,2026-05
70,BLOCK B EXPANSION [3.5 TO 8.0,NCL - CIL,400162,Madhya Pradesh,2019-07,2019-07,2023-03,2027-03,998.71,998.71,684.46,51.08,62,June 2026,FlashReport_June_2026.pdf,2026-06
70,BLOCK B EXPANSION [3.5 TO 8.0,NCL - CIL,400162,Madhya Pradesh,2019-07,2019-07,2023-03,2027-03,998.71,998.71,545.34,51.31,58,July 2026,FlashReport_July_2026.pdf,2026-07
112,SUBHADRA OCP,Mahanadi Coalfields Limited [MCL],400165,Odisha,2021-05,2021-05,2032-04,,1693.81,1693.81,1329.14,45.57,60,April 2026,FlashReport_April2026.pdf,2026-04
111,SUBHADRA OCP,Mahanadi Coalfields Limited [MCL],400165,Odisha,2021-05,2021-05,2032-04,,1693.81,1693.81,1330.06,45.73,59,May 2026,FlashReport_May2026.pdf,2026-05
110,SUBHADRA OCP,Mahanadi Coalfields Limited [MCL],400165,Odisha,2021-05,2021-05,2032-04,,1693.81,1693.81,1331.36,46.27,64,June 2026,FlashReport_June_2026.pdf,2026-06
110,SUBHADRA OCP,MCL - CIL,400165,Odisha,2021-05,2021-05,2032-04,,1693.81,1693.81,1332.87,46.57,60,July 2026,FlashReport_July_2026.pdf,2026-07
113,SIARMAL OCP,Mahanadi Coalfields Limited [MCL],400166,Odisha,2021-02,2021-02,2029-03,,5194.95,5194.95,3490.38,59.5,60,April 2026,FlashReport_April2026.pdf,2026-04
112,SIARMAL OCP,Mahanadi Coalfields Limited [MCL],400166,Odisha,2021-02,2021-02,2029-03,,5194.95,5194.95,3491.21,60.27,59,May 2026,FlashReport_May2026.pdf,2026-05
111,SIARMAL OCP,Mahanadi Coalfields Limited [MCL],400166,Odisha,2021-02,2021-02,2029-03,,5194.95,5194.95,3491.08,60.66,64,June 2026,FlashReport_June_2026.pdf,2026-06
111,SIARMAL OCP,Mahanadi Coalfields Limited [MCL],400166,Odisha,2021-02,2021-02,2029-03,,5194.95,5194.95,3543.45,61.04,60,July 2026,FlashReport_July_2026.pdf,2026-07
383,Redevelopment of Santhal Field [Onshore-Mehsana Asset],Oil and Natural Gas Corporation Limited [ONGC],400167,Gujarat,2017-02,2017-02,2026-03,2026-12,1162.56,1162.56,1152.51,95.9,73,April 2026,FlashReport_April2026.pdf,2026-04
373,Redevelopment of Santhal Field [Onshore-Mehsana Asset],Oil and Natural Gas Corporation Limited [ONGC],400167,Gujarat,2017-02,2017-02,2026-03,2026-12,1162.56,1162.56,1113.19,95.9,72,May 2026,FlashReport_May2026.pdf,2026-05
367,Redevelopment of Santhal Field [Onshore-Mehsana Asset],Oil and Natural Gas Corporation Limited [ONGC],400167,Gujarat,2017-02,2017-02,2026-03,2026-12,1162.56,1162.56,1117.8,96.8,77,June 2026,FlashReport_June_2026.pdf,2026-06
366,Redevelopment of Santhal Field [Onshore-Mehsana Asset],Oil and Natural Gas Corporation Limited [ONGC],400167,Gujarat,2017-02,2017-02,2026-03,2026-12,1162.56,1162.56,1127.73,96.8,73,July 2026,FlashReport_July_2026.pdf,2026-07
407,"500 KTA PDHPP Project, Usar",Ministry of Petroleum & Natural Gas,400168,Maharashtra,2021-04,2021-04,2025-04,2027-04,8797.0,11256.0,8003.66,90.7,75,April 2026,FlashReport_April2026.pdf,2026-04
397,"500 KTA PDHPP Project, Usar",Ministry of Petroleum & Natural Gas,400168,Maharashtra,2021-04,2021-04,2025-04,2027-06,8797.0,11256.0,8113.66,91.1,73,May 2026,FlashReport_May2026.pdf,2026-05
391,"500 KTA PDHPP Project, Usar",Ministry of Petroleum & Natural Gas,400168,Maharashtra,2021-04,2021-04,2025-04,2027-06,8797.0,11256.0,8741.88,91.6,78,June 2026,FlashReport_June_2026.pdf,2026-06
390,"500 KTA PDHPP Project, Usar",Gas Authority of India Limited [GAIL],400168,Maharashtra,2021-04,2021-04,2025-04,2027-06,8797.0,11256.0,8861.88,91.9,74,July 2026,FlashReport_July_2026.pdf,2026-07
384,Redevelopment of Linch Field,Oil and Natural Gas Corporation Limited [ONGC],400169,Gujarat,2021-04,2021-04,2025-03,2026-07,631.03,845.42,612.97,90.0,73,April 2026,FlashReport_April2026.pdf,2026-04
374,Redevelopment of Linch Field,Oil and Natural Gas Corporation Limited [ONGC],400169,Gujarat,2021-04,2021-04,2025-03,2026-07,631.03,845.42,617.71,91.0,72,May 2026,FlashReport_May2026.pdf,2026-05
368,Redevelopment of Linch Field,MinistryofPetroleumNaturalGas,400169,Gujarat,2021-04,2021-04,2025-03,2026-07,631.03,845.42,617.84,92.1,77,June 2026,FlashReport_June_2026.pdf,2026-06
367,Redevelopment of Linch Field,Oil and Natural Gas Corporation Limited [ONGC],400169,Gujarat,2021-04,2021-04,2025-03,2026-10,631.03,845.42,622.24,93.7,73,July 2026,FlashReport_July_2026.pdf,2026-07
439,2G Ethanol Biorefinery at Bathinda,Hindustan Petroleum Corporation Limited [HPCL],400171,Punjab,2020-05,2020-05,2023-02,2026-12,1421.46,1421.46,1263.61,95.8,76,April 2026,FlashReport_April2026.pdf,2026-04
428,2G Ethanol Biorefinery at Bathinda,Hindustan Petroleum Corporation Limited [HPCL],400171,Punjab,2020-05,2020-05,2023-02,2026-12,1421.46,1421.46,1266.71,95.8,75,May 2026,FlashReport_May2026.pdf,2026-05
420,2G Ethanol Biorefinery at Bathinda,MinistryofPetroleumNaturalGas,400171,Punjab,2020-05,2020-05,2023-02,2026-12,1421.46,1421.46,1293.34,94.0,79,June 2026,FlashReport_June_2026.pdf,2026-06
412,2G Ethanol Biorefinery at Bathinda,Hindustan Petroleum Corporation Limited,400171,Punjab,2020-05,2020-05,2023-02,2026-12,1421.46,1421.46,1291.35,95.9,75,July 2026,FlashReport_July_2026.pdf,2026-07
57,CHITRA EAST OC,Eastern Coal Fields Limited [ECL],400172,Jharkhand,2018-08,2018-08,2026-03,2028-03,513.99,513.99,239.88,53.03,57,April 2026,FlashReport_April2026.pdf,2026-04
57,CHITRA EAST OC,Eastern Coal Fields Limited [ECL],400172,Jharkhand,2018-08,2018-08,2026-03,2028-03,513.99,513.99,240.12,53.03,56,May 2026,FlashReport_May2026.pdf,2026-05
